island_id,pixel_area,bbox_x0,bbox_y0,bbox_x1,bbox_y1,centroid_u,centroid_v,root_to_tip_u,root_to_tip_v,face_count,mesh_names,part_counts,category_counts
89,757,1566,1452,1586,1514,0.76944,0.2723443,0.0712318,-0.9974598,8,pasted__pasted__pasted__pasted__polySurface94Shape,"{""braid"":8}","{""left_braid_end"":4,""right_braid_end"":4}"
90,8,2034,1453,2035,1456,0.9938935,0.289448,-0.0,1.0,4,polySurface80Shape,"{""side"":4}","{""side_left_upper"":1,""side_right_upper"":1,""side_top_bridge"":2}"
91,1097,1585,1454,1647,1514,0.7848807,0.2704516,-0.796024,0.605265,20,pasted__pasted__pasted__pasted__polySurface94Shape,"{""braid"":20}","{""left_braid_end"":10,""right_braid_end"":10}"
92,2236,1951,1471,2005,1530,0.9663395,0.266512,0.0106625,-0.9999432,24,pasted__polySurface41Shape,"{""back"":20,""side"":4}","{""back_center"":2,""back_left"":5,""back_right"":5,""back_top"":8,""side_under_left"":2,""side_under_right"":2}"
93,39570,243,1528,356,2037,0.145249,0.1457128,-0.0684283,-0.997656,23,polySurface80Shape,"{""side"":23}","{""side_right"":6,""side_right_upper"":11,""side_top_bridge"":6}"
94,22582,1635,1542,1708,2032,0.8160847,0.1019044,-0.0213952,-0.9997711,18,polySurface89Shape,"{""front"":18}","{""front_center"":2,""front_left"":16}"
95,37607,414,1544,523,2041,0.2291534,0.1409259,0.0501216,-0.9987431,23,polySurface80Shape,"{""side"":23}","{""side_left"":6,""side_left_upper"":11,""side_top_bridge"":6}"
96,12182,1585,1548,1620,2033,0.7847081,0.1059241,-0.0216438,-0.9997657,16,polySurface89Shape,"{""front"":16}","{""front_center"":3,""front_right"":13}"
97,26043,1717,1561,1791,2020,0.8566438,0.1151829,-0.0026868,-0.9999964,20,polySurface89Shape,"{""front"":20}","{""front_center"":20}"
98,18357,1812,1568,1872,2013,0.8999151,0.1011209,-0.0071181,-0.9999747,21,polySurface89Shape,"{""front"":21}","{""front_center"":3,""front_right"":18}"
99,691,1301,1571,1333,1604,0.6424601,0.2236735,0.5118275,-0.8590882,114,polySurface89Shape,"{""front"":114}","{""front_center"":59,""front_left"":20,""front_right"":35}"
100,17940,1413,1578,1479,2006,0.7056868,0.1111176,-0.0014205,-0.999999,21,polySurface89Shape,"{""front"":21}","{""front_center"":5,""front_left"":16}"
101,16299,1504,1579,1567,2003,0.7507222,0.1146818,-0.0008941,-0.9999996,22,polySurface89Shape,"{""front"":22}","{""front_center"":6,""front_right"":16}"
102,17168,1890,1594,1946,2025,0.9375828,0.1031817,0.0051026,-0.999987,16,polySurface89Shape,"{""front"":16}","{""front_center"":9,""front_left"":7}"
103,15105,1976,1598,2024,2027,0.9775567,0.101636,-0.0033337,-0.9999944,20,polySurface89Shape,"{""front"":20}","{""front_center"":20}"
104,1139,1383,1603,1398,1729,0.678059,0.1868234,-0.0085255,-0.9999637,3,polySurface89Shape,"{""front"":3}","{""front_right"":3}"
105,661,1299,1628,1322,1687,0.6417391,0.1931087,0.2815645,-0.9595423,3,polySurface89Shape,"{""front"":3}","{""front_right"":3}"
106,4678,1275,1653,1295,1976,0.6287264,0.1058698,-0.0083553,-0.9999651,11,polySurface89Shape,"{""front"":11}","{""front_center"":2,""front_right"":9}"
107,8394,749,1672,808,1953,0.3841255,0.1259233,0.0833611,-0.9965194,23,polySurface80Shape,"{""side"":23}","{""side_left"":23}"
108,8654,674,1674,729,1948,0.3402548,0.1227525,-0.0290338,-0.9995784,23,polySurface80Shape,"{""side"":23}","{""side_right"":23}"
109,8479,1159,1713,1213,1985,0.5785739,0.1060908,-0.0083423,-0.9999652,23,polySurface80Shape,"{""side"":23}","{""side_right"":23}"
110,2851,1325,1713,1338,1992,0.6511886,0.0942634,-0.0024313,-0.999997,9,polySurface89Shape,"{""front"":9}","{""front_center"":2,""front_right"":7}"
111,1847,1378,1744,1388,1965,0.6761328,0.0955653,-6.1e-06,-1.0,6,polySurface89Shape,"{""front"":6}","{""front_left"":6}"
